Date,Start,End,Minutes,Hours,Main accomplishments in the day
1-Jun-26,8:35,17:42,547,9.12,Induction + chat with mark + reading a lot of material
2-Jun-26,8:45,17:45,540,9.00,"Tour with Vince through the department, chat with mark + reading a lot of material + scheduling meetings. "
3-Jun-26,8:22,20:54,752,12.54,"Long conversation with John, several items to read and prepare for future meetings. Discussed extra hours with Mark and John and got their blessing."
4-Jun-26,8:35,21:45,790,13.17,Arranged meetings with Raj and Karen and started going through all the specific documentation I have as of now (mostly sent by john)
5-Jun-26,8:59,18:09,550,9.17,Mostly reading the material john and mark sent me to prepare for my meeting on Monday
7-Jun-26,15:37,19:01,204,3.40,Started looking at mandatory modules + John's emails and material + mySQL procedures and dialect
8-Jun-26,8:35,17:30,535,8.92,Battle with IT - Meetings with Raj and Karen
9-Jun-26,8:03,19:00,657,10.95,"Still battleing with IT, several things done in terms of organizing things and mapping who is who, reivising SQL documentation etc. "
10-Jun-26,8:00,17:01,541,9.02,Meeting with Dan + Jason + James
11-Jun-26,8:14,18:23,609,10.15,Going through documentation and revising SQL
12-Jun-26,8:00,17:00,540,9.00,Preparing for meetings with Lizzi + revising mySQL specific syntax and database architecture
14-Jun-26,7:56,12:35,279,4.65,Getting ready for meetings for the week following - Starting to get familiar with all the agencies - revising Johns attachments
15-Jun-26,8:00,18:08,608,10.14,Several meetings - SMB + Lizzie + Archie + Kidney registry
16-Jun-26,08:14,17:00,526,8.77,Lots reading on the current state of BHLY
17-Jun-26,08:26,17:02,516,8.60,Got back to studying the material that John sent me
18-Jun-26,08:37,16:54,497,8.29,Catching up with Lizzie's emails 
19-Jun-26,09:00,16:00,420,7.00,"""easy day"". Replying email, getting familiar with BHLY"
22-Jun-26,09:00,15:45,405,6.75,Mostly getting familiar with BHLY and trying to sort IT permission issues. Logged the wrong time. Probably started earlier then 8:30 but because I'm not sure I rounded up to the next half an hour. 
23-Jun-26,08:00,18:45,645,10.75,Very long meeting with John +3h and getting ready for Lizzi's meeting + network event with Mark next week
24-Jun-26,07:41,20:18,757,12.62,Started going through the documentation on the X drive.... and then I got locked out and triped some security policy
25-Jun-26,07:55,18:51,656,10.94,
